1997dt,1.04,Jha2006,Matheson2008,0.00610,NEDhost,15.64,0,Jha2006,15.08,0,Jha2006,0.15,SA(rs)bc,0.245,0.057,NED,0.59,0.09,XWang2009,0.000087,-0.141,0.290,0.574,0.080,Arsenijevic2011
1997ef,Ib/c,SUSPECT,LifanWang,?,?,?,?,?,?,?,?,?,?,0.183,?,NED,?,?,?,?,?,?,?,?,?
1997ek,0.966,Knop2003,LifanWang,0.863,Knop2003,24.51,0.03,Knop2003,?,?,?,0.115,?,0.186,?,NED,0,0.075,Knop2003,?,?,?,?,?,?
1997eq,1.152,Knop2003,LifanWang,0.538,Knop2003,23.21,0.02,Knop2003,?,?,?,0.071,?,0.190,?,NED,0.035,0.034,Knop2003,?,?,?,?,?,?
1997ex,?,?,LifanWang,0.361,Foley2005,?,?,?,?,?,?,?,?,0.118,?,NED,?,?,?,?,?,?,?,?,?
1997ez,0.928,Knop2003,LifanWang,0.78,IAUC6804,24.29,0.03,Knop2003,?,?,?,0.066,?,0.108,?,NED,0.095,0.068,Knop2003,?,?,?,?,?,?
1998ab,1.0527170,LifanWang,Matheson2008,0.02784,LifanWang2006,16.05,0.09,XWang2006,16.113,0.076,LifanWang2006,0.0086789923,Sbc pec,0.073,0.017,NED,0.09,0.04,XWang2006,?,0.130,0.116,0.108,0.014,HickenPhD2009
1998aq,1.1846017,LifanWang,Matheson2008 & Branch2003,0.004266,NEDhost,12.30,0.07,XWang2006,12.463143,0.0043218998,LifanWang,0.0083846883,SAB(rs)ab,0.061,0.014,NED,0.00,0.04,XWang2009,0.000043,-0.353,0.087,-0.004,0.026,Arsenijevic2011
1998as,1.160,Knop2003,LifanWang,0.355,Knop2003,22.72,0.03,Knop2003,?,?,?,0.036,?,0.162,?,NED,0.158,0.030,Knop2003,?,?,?,?,?,?
1998aw,1.020,Knop2003,LifanWang,0.440,Knop2003,23.22,0.02,Knop2003,?,?,?,0.042,?,0.113,?,NED,0.259,0.026,Knop2003,?,?,?,?,?,?
1998ax,0.814,Knop2003,LifanWang,0.497,Knop2003,23.25,0.05,Knop2003,?,?,?,0.072,?,0.150,?,NED,0.113,0.044,Knop2003,?,?,?,?,?,?
1998ba,1.165,Knop2003,LifanWang,0.430,Knop2003,22.97,0.05,Knop2003,?,?,?,0.056,?,0.104,?,NED,0.040,0.038,Knop2003,?,?,?,?,?,?
1998bp,1.903,LifanWang,Matheson2008,0.01017,NEDhost,15.32,0.10,XWang2006,15.29,0,Jha2006,0.035859790,E,0.329,0.076,NED,0.02,0.04,XWang2006,0.000063,-2.440,0.169,0.184,0.031,Arsenijevic2011
1998bu,1.0143609,LifanWang,Lifan & Matheson2008,0.00416,LifanWang2006,12.11,0.07,XWang2006,11.774,0.010,LifanWang2006,0.0077189978,SAB(rs)ab,0.109,0.025,NED,0.42,0.04,XWang2009,0.000083,-0.344,0.029,0.185,0.027,Arsenijevic2011
1998bw,Icv,SUSPECT,LifanWang,?,?,?,?,?,?,?,?,?,?,0.253,?,NED,?,?,?,?,?,?,?,?,?
